product_id,review_n,category,product_name_clean,Q_mass_total,Q_pos_product,E_mass_total,E_pos_product,S_mass_total,S_pos_product
PRD_0001,1461,로션,피지오겔 DMT 데일리 보습 페이셜 로션 200ml,986.0396996879268,0.830442502564907,474.43303080242407,0.8366587606592252,382.5272695096492,0.8859389438298482
PRD_0004,2,크림,[끝장크림] 시카고 시카 피니쉬 크림 50ml,2.356794906697313,0.4045611781202451,0.3280419754391206,0.676739674965923,0.3151631178635656,0.6331110615908744
PRD_0005,26,스킨/토너,싸이닉 더 심플 카밍 토너 145ml,21.929043337712034,0.7790106578150978,11.2088831056107,0.7531595647571475,6.86207355667727,0.8321773253674905
PRD_0006,10,로션,싸이닉 더 심플 데일리 로션 145ml,14.241505346211754,0.7000518313954086,2.1481332395067705,0.7571663493496342,1.610361414281473,0.8167123114458984
PRD_0007,10,스킨/토너,싸이닉 더 심플 카밍 토너 145ml,11.50090014576558,0.7398670178039989,2.9176377985262114,0.7102571455727386,1.581462055708208,0.7758799725071673
PRD_0008,8,크림,마티나겝하르트 아보카도 아이크림 15ml,9.18287657444014,0.5457852118758661,2.476838446547428,0.701198370899539,1.3402849790124307,0.6577628881240848
PRD_0009,12,스킨/토너,[1등토너]라운드랩 1025 독도 토너 200ml,13.435828723444878,0.7610232474188393,6.955363282290118,0.8486473054154144,4.608807994265003,0.8553171421132553
PRD_0010,1,로션,[피지&모공케어]눅스 맨 올인원 모이스춰라이징 젤 50ml,0.9691908780438556,0.9825,0.0047901170227886,0.9824999999999998,0.0260190049333555,0.9825
PRD_0011,237,에센스/세럼/앰플,[올리브영 1등 세럼/속보습세럼]토리든 다이브인 저분자 히알루론산 세럼 50ml,267.8040361438142,0.7743025391313886,78.2840579400495,0.7788438890604433,43.91190591613629,0.7992308720356497
PRD_0012,397,스킨/토너,이즈앤트리 히아루론산 토너 200ml,274.77552316159864,0.8346918468118238,175.84026274510785,0.8516407826955954,118.38421409329342,0.8773262959871317
PRD_0013,10,스킨/토너,[대용량] 이즈앤트리 히아루론산 토너 400ml,16.25228872612488,0.7238166461137134,3.473577567039784,0.7752961721026372,1.274133706835334,0.692050636612106
PRD_0014,498,스킨/토너,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,403.71766553458826,0.8439769643250888,156.53466239848615,0.8331890625853008,109.74767206692552,0.8757386261812892
PRD_0015,2,크림,코스알엑스 풀핏 프로폴리스 라이트 크림 65ml,1.6527465904407113,0.7100574609862823,1.1097972831398308,0.7336440320353641,1.237456126419458,0.9311512337228164
PRD_0016,3192,미스트/오일,에스트라 아토베리어365 크림미스트 120ml,3098.1574315981907,0.7448071318114428,923.5409403218764,0.769827747265656,676.3016280799332,0.8351291041815763
